"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0,1823,5773,14167,17285,7489,8612,5307,9731,10652,23364,11450,14287,15628,36083
1927,0,4536,12930,16049,6253,7376,4071,8494,9416,22128,10214,13051,14392,34847
6184,4436,0,9577,12695,2681,4022,2442,5151,6072,18774,6870,9707,12247,31493
15397,13648,10573,0,3879,9690,7834,11654,8233,8804,10355,9952,12789,15282,27417
18588,16840,13765,3884,0,12882,11026,14846,11425,11995,7626,13144,15981,18474,19292
9592,7844,2942,9331,12450,0,3379,5849,3147,4068,18529,4866,7703,10196,31247
9138,7390,4314,6359,9478,3431,0,5395,4709,5630,15557,6428,9265,11758,28276
5829,4080,2728,11122,14241,4444,5568,0,6686,7607,20320,8405,11243,10480,33038
10605,8857,5803,8537,11656,4920,5876,6862,0,1066,17735,2219,5056,7548,30454
11013,9265,6211,8799,11918,5328,6284,7271,1077,0,17997,2801,4146,6917,30716
24582,22834,19758,10494,7652,18875,17019,20839,17418,17989,0,19137,21975,24467,14168
13419,11671,8617,11063,14181,7734,7105,9676,2716,3885,20260,0,3591,6083,32979
14463,12715,9661,12107,15226,8778,9734,10721,5011,4930,21305,2936,0,4052,34023
16672,14923,13571,14698,17817,11370,12325,12929,7603,7521,23896,5528,4713,0,36615
37481,35733,32658,25710,19456,31774,29918,33739,30317,30888,14396,32037,34874,37366,0
